komsat;jns_karantina;komoditas;satuan;harga
karper/ekor;I;Karper;ekor;2.719
katak/ekor;I;Katak;ekor;4.403
kecap ikan/box;I;Kecap Ikan;box;1
kecap ikan/carton;I;Kecap Ikan;carton;1
kecap ikan/kilogram;I;Kecap Ikan;kilogram;86.483
kekerangan/kilogram;I;Kekerangan;kilogram;168.878
kekerangan/ekor;I;Kekerangan;ekor;12.051
kekerangan/box;I;Kekerangan;box;1
kekerangan/buah/butir/batang;I;Kekerangan;buah/butir/batang;1
kelampai/ekor;I;Kelampai;ekor;10.569
kelomang/ekor;I;Kelomang;ekor;11.932
kelomang/buah/butir/batang;I;Kelomang;buah/butir/batang;1
kelomang/kilogram;I;Kelomang;kilogram;5.505
keong/ekor;I;Keong;ekor;26.977
keong macan/kilogram;I;Keong Macan;kilogram;142.314
keong macan/ekor;I;Keong Macan;ekor;2.479
keong macan/box;I;Keong Macan;box;1
keong macan/set;I;Keong Macan;set;1
keong neptune/kilogram;I;Keong Neptune;kilogram;99.903
keong sawah/ekor;I;Keong Sawah;ekor;2.438
keong sawah/kilogram;I;Keong Sawah;kilogram;37.446
kepala kumpele tebang/kilogram;I;Kepala Kumpele Tebang;kilogram;30.000
kepe - kepe/ekor;I;Kepe - kepe;ekor;100.000
kepe - kepe/buah/butir/batang;I;Kepe - kepe;buah/butir/batang;1
kepiting/kilogram;I;Kepiting;kilogram;179.350
kepiting/ekor;I;Kepiting;ekor;372.127
kepiting/box;I;Kepiting;box;1
kepiting alaska/kilogram;I;Kepiting Alaska;kilogram;247.194
kepiting bakau/ekor;I;Kepiting Bakau;ekor;61.564
kepiting bakau/box;I;Kepiting Bakau;box;1
kepiting bakau/kilogram;I;Kepiting Bakau;kilogram;97.589
kepiting hias/ekor;I;Kepiting Hias;ekor;16.078
kepiting hias/buah/butir/batang;I;Kepiting Hias;buah/butir/batang;1
kepiting hias/kilogram;I;Kepiting Hias;kilogram;61.899
kepiting kenari/ekor;I;Kepiting Kenari;ekor;30.557
kerajinan mutiara/kilogram;I;Kerajinan Mutiara;kilogram;939.994
kerang/ekor;I;Kerang;ekor;1.502
kerang/box;I;Kerang;box;1
kerang/kilogram;I;Kerang;kilogram;31.758
kerang abalon/kilogram;I;Kerang Abalon;kilogram;200.000
kerang abalon/ekor;I;Kerang Abalon;ekor;23.308
kerang air tawar/ekor;I;Kerang Air Tawar;ekor;3.827
kerang air tawar/kilogram;I;Kerang Air Tawar;kilogram;15.000
kerang batik/ekor;I;Kerang Batik;ekor;2.873
kerang batik/kilogram;I;Kerang Batik;kilogram;12.132
kerang dara/ekor;I;Kerang Dara;ekor;4.000
kerang dara/box;I;Kerang Dara;box;1
kerang dara/kilogram;I;Kerang Dara;kilogram;45.000
kerang darah/ekor;I;Kerang Darah;ekor;4.000
kerang darah/kilogram;I;Kerang Darah;kilogram;45.000
kerang kapah/ekor;I;Kerang Kapah;ekor;2.662
kerang kapah/kilogram;I;Kerang Kapah;kilogram;100.000
kerang keranjang/ kerang nuttal/ekor;I;Kerang Keranjang/ Kerang Nuttal;ekor;1.114
kerang keranjang/ kerang nuttal/kilogram;I;Kerang Keranjang/ Kerang Nuttal;kilogram;19.186
kerang mutiara/kilogram;I;Kerang Mutiara;kilogram;125.000
kerang mutiara/gram;I;Kerang Mutiara;gram;128.000
kerang mutiara/box;I;Kerang Mutiara;box;1
kerang nuttal/ekor;I;Kerang Nuttal;ekor;4.000
kerang nuttal/box;I;Kerang Nuttal;box;1
kerang nuttal/kilogram;I;Kerang Nuttal;kilogram;45.000
kerang scallops/kilogram;I;Kerang Scallops;kilogram;223.189
kerupuk udang/box;I;Kerupuk Udang;box;1
kerupuk udang/kemasan;I;Kerupuk Udang;kemasan;1
kerupuk udang/kilogram;I;Kerupuk Udang;kilogram;66.642
ketang - ketang/ekor;I;Ketang - ketang;ekor;40.000
ketang - ketang/kilogram;I;Ketang - ketang;kilogram;40.000
kisu fish/ekor;I;Kisu Fish;ekor;494
kisu fish/kilogram;I;Kisu Fish;kilogram;55.430
knife fish eel/ekor;I;Knife fish Eel;ekor;30.000
kod/kilogram;I;Kod;kilogram;127.605
kodok/ekor;I;Kodok;ekor;155.007
koi/ekor;I;Koi;ekor;240.266
komet/ekor;I;Komet;ekor;169.479
krill shrimp/kilogram;I;Krill Shrimp;kilogram;158.302
kuda laut/ekor;I;Kuda Laut;ekor;24.676
kudu kudu/ekor;I;Kudu kudu;ekor;50.000
kudu kudu/kilogram;I;Kudu kudu;kilogram;80.000
kudu-kudu/ekor;I;Kudu-kudu;ekor;50.000
kuhli loach/ekor;I;Kuhli Loach;ekor;10.000
kuhli loach/buah/butir/batang;I;Kuhli Loach;buah/butir/batang;1
kulit buaya/kilogram;I;Kulit Buaya;kilogram;206.759
kulit buaya/lembar;I;Kulit Buaya;lembar;4.414.725
kulit buaya/box;I;Kulit Buaya;box;1
kulit buaya/buah/butir/batang;I;Kulit Buaya;buah/butir/batang;1
kulit ikan/kilogram;I;Kulit Ikan;kilogram;388.508
kulit ikan/lembar;I;Kulit Ikan;lembar;95.395
kulit ikan/box;I;Kulit Ikan;box;1
kulit ikan/buah/butir/batang;I;Kulit Ikan;buah/butir/batang;1
kulit ikan hiu/kilogram;I;Kulit Ikan Hiu;kilogram;183.224
kulit ikan hiu/ekor;I;Kulit Ikan Hiu;ekor;500.000
kulit ikan pari/kilogram;I;Kulit Ikan Pari;kilogram;213.074
kulit udang/gram;I;Kulit Udang;gram;10
kulit udang/kilogram;I;Kulit Udang;kilogram;10.000
kura kura/ekor;I;Kura kura;ekor;60.000
kuwe/kilogram;I;Kuwe;kilogram;226.947
kuwe/ekor;I;Kuwe;ekor;13.267
lais/ekor;I;Lais;ekor;20.000
lais/kilogram;I;Lais;kilogram;100.000
layang/ekor;I;Layang;ekor;16.500
lele/ekor;I;Lele;ekor;13.680
lele/box;I;Lele;box;1
lele/kilogram;I;Lele;kilogram;34.187
lele albino/ekor;I;Lele Albino;ekor;3.228
lele hias/ekor;I;Lele Hias;ekor;12.620
lepu/ekor;I;Lepu;ekor;152.774
lepu/kilogram;I;Lepu;kilogram;65.580
letter six/ekor;I;Letter Six;ekor;51.089
lintah/ekor;I;Lintah;ekor;13.038
lintah/box;I;Lintah;box;1
lintah/buah/butir/batang;I;Lintah;buah/butir/batang;1
live lobster/kilogram;I;Live Lobster;kilogram;326.180
live lobster/ekor;I;Live Lobster;ekor;257.907
live mud crab/kilogram;I;LIVE MUD CRAB;kilogram;150.000
live mud crab/ekor;I;LIVE MUD CRAB;ekor;100.000
lizard fish/ekor;I;Lizard Fish;ekor;34.291
lizard fish/buah/butir/batang;I;Lizard Fish;buah/butir/batang;1
lizard fish/kilogram;I;Lizard Fish;kilogram;26.468
lobster/kilogram;I;Lobster;kilogram;130.816
lobster/ekor;I;Lobster;ekor;208.897
lobster/box;I;Lobster;box;1
lobster air laut -- hidup/kilogram;I;Lobster Air Laut -- Hidup;kilogram;122.797
lobster air laut -- hidup/ekor;I;Lobster Air Laut -- Hidup;ekor;689.690
lobster air laut -- hidup/box;I;Lobster Air Laut -- Hidup;box;1
lobster air tawar/ekor;I;Lobster Air Tawar;ekor;6.842
lobster air tawar/kilogram;I;Lobster Air Tawar;kilogram;8.619
lobster atlantik/kilogram;I;Lobster Atlantik;kilogram;1.172.343
lobster atlantik/ekor;I;Lobster Atlantik;ekor;173.824
lobster atlantik/pound;I;Lobster Atlantik;pound;1
lobster bambu/ekor;I;Lobster Bambu;ekor;144.188
lobster bambu/kilogram;I;Lobster Bambu;kilogram;62.800
lobster berduri/ekor;I;Lobster Berduri;ekor;88.000
lobster hias/ekor;I;Lobster Hias;ekor;6.372
lobster mutiara/kilogram;I;Lobster Mutiara;kilogram;187.369
lobster mutiara/ekor;I;Lobster Mutiara;ekor;562.105
lobster mutiara/gram;I;Lobster Mutiara;gram;187
lobster pasir/kilogram;I;Lobster Pasir;kilogram;105.366
lobster pasir/ekor;I;Lobster Pasir;ekor;178.023
lobster pasir/box;I;Lobster Pasir;box;1
lolong/ekor;I;Lolong;ekor;13.111
louhan/ekor;I;Louhan;ekor;84.370
lumba-lumba/ekor;I;Lumba-lumba;ekor;1
lungfish/ekor;I;Lungfish;ekor;6.842
mahseer/ekor;I;Mahseer;ekor;15.129
mahseer/kilogram;I;Mahseer;kilogram;68.147
mandarin fish/ekor;I;Mandarin Fish;ekor;30.442
manfish/ekor;I;Manfish;ekor;14.439
mas koki/ekor;I;Mas Koki;ekor;58.000
mata biru tutul/ekor;I;mata biru tutul;ekor;5.000
mata biru tutul/kilogram;I;mata biru tutul;kilogram;35.000
minyak cumi/ton;I;Minyak Cumi;ton;40.000.000
minyak cumi/kemasan;I;Minyak Cumi;kemasan;40.000
minyak cumi/peti kemas;I;Minyak Cumi;peti kemas;1
minyak cumi/kilogram;I;Minyak Cumi;kilogram;40.000
minyak ikan/ton;I;Minyak Ikan;ton;50.000.000
minyak ikan/liter;I;Minyak Ikan;liter;45.000
minyak ikan/kemasan;I;Minyak Ikan;kemasan;1
minyak ikan/kilogram;I;Minyak Ikan;kilogram;50.000
moa/ekor;I;Moa;ekor;216.761
moa/kilogram;I;Moa;kilogram;14.516
mono/ekor;I;Mono;ekor;39.662
moonfish/ekor;I;Moonfish;ekor;35.914
moonfish/kilogram;I;Moonfish;kilogram;40.000
moray/ekor;I;Moray;ekor;35.908
mujair/kilogram;I;Mujair;kilogram;18.870
mutiara/gram;I;Mutiara;gram;410.000
mutiara/box;I;Mutiara;box;1
mutiara/buah/butir/batang;I;Mutiara;buah/butir/batang;1
mutiara/kilogram;I;Mutiara;kilogram;100
naga laut/ekor;I;Naga Laut;ekor;45.833
napoleon/ekor;I;Napoleon;ekor;581.291
naso/ekor;I;Naso;ekor;7.333
nila/ekor;I;Nila;ekor;40.900
nila/gram;I;Nila;gram;60
nila/botol;I;Nila;botol;1
nila/box;I;Nila;box;1
nila/kilogram;I;Nila;kilogram;60.000
nila hias/ekor;I;Nila Hias;ekor;100.000
nudibranchia/ekor;I;Nudibranchia;ekor;21.689
obat ikan/liter;I;Obat Ikan;liter;39.412
obat ikan/gram;I;Obat Ikan;gram;1.336
obat ikan/kilogram;I;Obat Ikan;kilogram;20.000
olahan ikan/kilogram;I;Olahan Ikan;kilogram;142.546
olahan ikan/liter;I;Olahan Ikan;liter;125.000
olahan ikan/gram;I;Olahan Ikan;gram;142
olahan ikan/box;I;Olahan Ikan;box;1
olahan ikan/buah/butir/batang;I;Olahan Ikan;buah/butir/batang;1
olahan ikan/bulk;I;Olahan Ikan;bulk;1
olahan ikan/kemasan;I;Olahan Ikan;kemasan;1
olahan ikan/ekor;I;Olahan Ikan;ekor;1
olahan kepiting/kilogram;I;Olahan Kepiting;kilogram;150.000
olahan kepiting/ekor;I;Olahan Kepiting;ekor;51.237
olahan udang/kilogram;I;Olahan Udang;kilogram;200.000
olahan udang/gram;I;Olahan Udang;gram;200
oryzias/ekor;I;Oryzias;ekor;4.784
oscar/ekor;I;Oscar;ekor;62.000
oyster/ekor;I;oyster;ekor;30.000
oyster/kilogram;I;oyster;kilogram;80.000
pakan ikan/kilogram;I;Pakan Ikan;kilogram;119.037
pakan ikan/kemasan;I;Pakan Ikan;kemasan;173.843
pakan ikan/box;I;Pakan Ikan;box;1
pakan ikan/buah/butir/batang;I;Pakan Ikan;buah/butir/batang;1
pakan udang/ton;I;Pakan Udang;ton;49.000.000
pakan udang/kemasan;I;Pakan Udang;kemasan;50.000
pakan udang/liter;I;Pakan Udang;liter;35.000
pakan udang/gram;I;Pakan Udang;gram;50
pakan udang/peti kemas;I;Pakan Udang;peti kemas;1
pakan udang/kilogram;I;Pakan Udang;kilogram;49.660
palmas/ekor;I;Palmas;ekor;42.674
paperek/kilogram;I;Paperek;kilogram;45.352
pari/kilogram;I;Pari;kilogram;491.150
pari/ekor;I;Pari;ekor;27.317
pari/box;I;Pari;box;1
pari/buah/butir/batang;I;Pari;buah/butir/batang;1
pari/lembar;I;Pari;lembar;1
pari tawar/ekor;I;Pari tawar;ekor;50.000
paros/kilogram;I;Paros;kilogram;171.774
paros/ekor;I;Paros;ekor;46.743
pasir/ekor;I;Pasir;ekor;7.365
patin/ekor;I;Patin;ekor;38.623
patin/peti kemas;I;Patin;peti kemas;1
patin/kilogram;I;Patin;kilogram;69.108
patin hias/ekor;I;Patin Hias;ekor;4.634
peacock/ekor;I;Peacock;ekor;15.971
perca/kilogram;I;Perca;kilogram;158.521
perca/ekor;I;Perca;ekor;346.500
peyang/ekor;I;Peyang;ekor;38.400
pig fish/ekor;I;Pig Fish;ekor;28.018
pipe fish/ekor;I;Pipe fish;ekor;50.000
pipe fish/buah/butir/batang;I;Pipe fish;buah/butir/batang;1
pipe fish/kilogram;I;Pipe fish;kilogram;50.000
platy/ekor;I;Platy;ekor;5.758
platy/buah/butir/batang;I;Platy;buah/butir/batang;1
pleco/ekor;I;pleco;ekor;15.000
pleco/buah/butir/batang;I;pleco;buah/butir/batang;1
pony fish/ekor;I;Pony Fish;ekor;14.378
pony fish/kilogram;I;Pony Fish;kilogram;43.791
premix/kemasan;I;Premix;kemasan;20.000
premix/liter;I;Premix;liter;18.000
premix/kilogram;I;Premix;kilogram;20.864
rainbow fish/ekor;I;Rainbow fish;ekor;50.000
rainbow fish/buah/butir/batang;I;Rainbow fish;buah/butir/batang;1
rajungan/kilogram;I;Rajungan;kilogram;235.230
rajungan/ekor;I;Rajungan;ekor;27.459
rajungan/gram;I;Rajungan;gram;235
rajungan/box;I;Rajungan;box;1
rajungan/buah/butir/batang;I;Rajungan;buah/butir/batang;1
rajungan/can;I;Rajungan;can;1
rajungan/carton;I;Rajungan;carton;1
rajungan/case;I;Rajungan;case;1
rajungan/cup;I;Rajungan;cup;1
rasbora/ekor;I;Rasbora;ekor;7.419
red eye angel/ekor;I;Red Eye Angel;ekor;7.597
red eye angel/buah/butir/batang;I;Red Eye Angel;buah/butir/batang;1
red eye angel/kilogram;I;Red Eye Angel;kilogram;17.279
red nose/ekor;I;Red Nose;ekor;2.520
redfin/ekor;I;Redfin;ekor;5.392
redfin/buah/butir/batang;I;Redfin;buah/butir/batang;1
rice fish/ekor;I;Rice fish;ekor;8.000
ringau/ekor;I;Ringau;ekor;125.762
ringau/kilogram;I;Ringau;kilogram;60.000
roket/ekor;I;Roket;ekor;7.665
roket/kilogram;I;Roket;kilogram;30.000
rumput laut/kilogram;I;Rumput Laut;kilogram;125.426
rumput laut/ekor;I;Rumput Laut;ekor;58.132
rumput laut/gram;I;Rumput Laut;gram;125
rumput laut/bag;I;Rumput Laut;bag;1
rumput laut/box;I;Rumput Laut;box;1
rumput laut/buah/butir/batang;I;Rumput Laut;buah/butir/batang;1
rumput laut/carton;I;Rumput Laut;carton;1
rumput laut/kemasan;I;Rumput Laut;kemasan;1
sable fish/ekor;I;Sable fish;ekor;200.000
sable fish/kilogram;I;Sable fish;kilogram;100.000
salamander fish/ekor;I;Salamander Fish;ekor;25.568
salamander fish/kilogram;I;Salamander Fish;kilogram;5.997
salmon/kilogram;I;Salmon;kilogram;101.343
salmon/box;I;Salmon;box;1
salmon/bulk;I;Salmon;bulk;1
salmon/kemasan;I;Salmon;kemasan;1
salmon/liter;I;Salmon;liter;1
saponin/ekor;I;Saponin;ekor;5.866
saponin/kilogram;I;Saponin;kilogram;35.000
sapu-sapu/ekor;I;Sapu-sapu;ekor;50.000
scataphagus/ekor;I;Scataphagus;ekor;13.110
scorpion/kilogram;I;Scorpion;kilogram;390.038
scorpion/ekor;I;Scorpion;ekor;20.210
scott fish/ekor;I;Scott Fish;ekor;10.538
sea bass/ekor;I;Sea Bass;ekor;17.040
sea bass/kilogram;I;Sea Bass;kilogram;100.000
sea bream/kilogram;I;Sea Bream;kilogram;134.000
semah/ekor;I;Semah;ekor;175.239
semah/kilogram;I;Semah;kilogram;57.483
sembilang/kilogram;I;Sembilang;kilogram;17.945
sepat/ekor;I;Sepat;ekor;10.320
sepat/kilogram;I;Sepat;kilogram;94.500
sepat mutiara/ekor;I;Sepat Mutiara;ekor;19.600
serandang/ekor;I;Serandang;ekor;63.724
sidat/ekor;I;Sidat;ekor;10.170
sidat/kilogram;I;Sidat;kilogram;35.928
sillago/kilogram;I;Sillago;kilogram;26.048
silver biddy/ekor;I;Silver Biddy;ekor;2.462
silver biddy/box;I;Silver Biddy;box;1
silver biddy/kilogram;I;Silver Biddy;kilogram;17.475
silver dollar/ekor;I;Silver Dollar;ekor;20.160
singa laut/ekor;I;Singa Laut;ekor;56.713
siput gonggong/ekor;I;Siput Gonggong;ekor;17.112
siput gonggong/kilogram;I;Siput Gonggong;kilogram;26.163
siput/keong/ekor;I;Siput/Keong;ekor;5.220
siput/keong/buah/butir/batang;I;Siput/Keong;buah/butir/batang;1
siput/keong/kilogram;I;Siput/Keong;kilogram;47.863
siput/keong (ornamental)/ton;I;Siput/Keong (ornamental);ton;50.000.000
siput/keong (ornamental)/ekor;I;Siput/Keong (ornamental);ekor;7.500
siput/keong (ornamental)/box;I;Siput/Keong (ornamental);box;1
siput/keong (ornamental)/buah/butir/batang;I;Siput/Keong (ornamental);buah/butir/batang;1
siput/keong (ornamental)/kilogram;I;Siput/Keong (ornamental);kilogram;50.000
sirip hiu/kilogram;I;Sirip Hiu;kilogram;582.014
sirip hiu/ekor;I;Sirip Hiu;ekor;200.000
sirip hiu/box;I;Sirip Hiu;box;1
sirip ikan pari/kilogram;I;Sirip Ikan Pari;kilogram;80.241
sishamo/kilogram;I;Sishamo;kilogram;25.381
sisik ikan/kilogram;I;Sisik Ikan;kilogram;106.938
snowfish/ekor;I;Snowfish;ekor;35.513
sonang/ekor;I;Sonang;ekor;33.375
spadefish/ekor;I;Spadefish;ekor;19.715
spider crab/ekor;I;Spider Crab;ekor;17.344
spider crab/buah/butir/batang;I;Spider Crab;buah/butir/batang;1
squid liver paste/kilogram;I;Squid Liver Paste;kilogram;149.167
squid liver paste/ton;I;Squid Liver Paste;ton;149.000.000
squid meal squid meal/kilogram;I;Squid Meal Squid meal;kilogram;100.000
squid meal squid meal/ton;I;Squid Meal Squid meal;ton;100.000.000
strip lima/ekor;I;Strip Lima;ekor;450
sucker fish/ekor;I;Sucker Fish;ekor;2.281
sucker fish/kilogram;I;Sucker Fish;kilogram;30.000
supplemen/kilogram;I;Supplemen;kilogram;75.000
surgeonfish/ekor;I;Surgeonfish;ekor;87.480
surgeonfish/buah/butir/batang;I;Surgeonfish;buah/butir/batang;1
surgeonfish/kilogram;I;Surgeonfish;kilogram;14.968
surimi/kemasan;I;Surimi;kemasan;1
surimi/kilogram;I;Surimi;kilogram;40.819
sweetfish/ekor;I;Sweetfish;ekor;32.597
sweetfish/kilogram;I;Sweetfish;kilogram;32.000
tali tali/ekor;I;Tali Tali;ekor;1.786
telur bulu babi/kilogram;I;Telur Bulu Babi;kilogram;120.969
telur ikan/kilogram;I;Telur Ikan;kilogram;260.000
telur ikan/ekor;I;Telur Ikan;ekor;1
telur ikan terbang/kilogram;I;Telur Ikan Terbang;kilogram;550.106
telur ikan terbang/kilogram per second;I;Telur Ikan Terbang;kilogram per second;1
tembakang/ekor;I;Tembakang;ekor;2.500
tembakang/kilogram;I;Tembakang;kilogram;14.750
tengadak/kilogram;I;Tengadak;kilogram;295.938
tengadak/ekor;I;Tengadak;ekor;26.372
tengkek/box;I;Tengkek;box;1
tengkek/kilogram;I;Tengkek;kilogram;19.251
tepung cumi/ton;I;Tepung Cumi;ton;75.000.000
tepung cumi/box;I;Tepung Cumi;box;1
tepung cumi/kilogram;I;Tepung Cumi;kilogram;75.286
tepung ikan/ton;I;Tepung Ikan;ton;13.000.000
tepung ikan/bulk;I;Tepung Ikan;bulk;650.000
tepung ikan/box;I;Tepung Ikan;box;1
tepung ikan/kemasan;I;Tepung Ikan;kemasan;1
tepung ikan/liter;I;Tepung Ikan;liter;1
tepung ikan/peti kemas;I;Tepung Ikan;peti kemas;1
tepung ikan/kilogram;I;Tepung Ikan;kilogram;13.000
tepung udang/kilogram;I;Tepung Udang;kilogram;103.714
teripang/kilogram;I;Teripang;kilogram;1.130.092
teripang/ekor;I;Teripang;ekor;15.133
tesselated fusilier/ekor;I;Tesselated Fusilier;ekor;58.521
tetra/ekor;I;Tetra;ekor;5.393
tetra/buah/butir/batang;I;Tetra;buah/butir/batang;1
tetra/kilogram;I;Tetra;kilogram;68.514
tiger fish/ekor;I;Tiger Fish;ekor;82.121
tilan/ekor;I;Tilan;ekor;568.907
tilefish/ekor;I;Tilefish;ekor;48.013
tilefish/kilogram;I;Tilefish;kilogram;16.000
tiram/kilogram;I;Tiram;kilogram;682.502
tiram/ekor;I;Tiram;ekor;9.399
tiram/box;I;Tiram;box;1
tiram/buah/butir/batang;I;Tiram;buah/butir/batang;1
tiram/lembar;I;Tiram;lembar;1
titang/ekor;I;Titang;ekor;56.150
titang/buah/butir/batang;I;Titang;buah/butir/batang;1
toman/ekor;I;Toman;ekor;148.952
tongyang/ekor;I;Tongyang;ekor;2.070
trigger fish/ekor;I;Trigger Fish;ekor;38.572
trigger fish/buah/butir/batang;I;Trigger Fish;buah/butir/batang;1
trigger fish/kilogram;I;Trigger Fish;kilogram;30.000
tulang ikan/kilogram;I;Tulang Ikan;kilogram;188.004
tulang sotong/kilogram;I;Tulang Sotong;kilogram;96.723
tulang sotong/box;I;Tulang Sotong;box;1
ubur-ubur/ekor;I;Ubur-ubur;ekor;7.000
ubur-ubur/gram;I;Ubur-ubur;gram;70
ubur-ubur/box;I;Ubur-ubur;box;1
ubur-ubur/kilogram per second;I;Ubur-ubur;kilogram per second;1
ubur-ubur/kilogram;I;Ubur-ubur;kilogram;70.000
udang/ekor;I;Udang;ekor;15.591
udang/box;I;Udang;box;1
udang/buah/butir/batang;I;Udang;buah/butir/batang;1
udang/kilogram;I;Udang;kilogram;32.050
udang air laut/ekor;I;Udang Air Laut;ekor;17.769
udang air laut/box;I;Udang Air Laut;box;1
udang air laut/buah/butir/batang;I;Udang Air Laut;buah/butir/batang;1
udang air laut/kilogram;I;Udang Air Laut;kilogram;65.367
udang air tawar/ekor;I;Udang Air Tawar;ekor;10.588
udang air tawar/buah/butir/batang;I;Udang Air Tawar;buah/butir/batang;1
udang argentina/kilogram;I;Udang Argentina;kilogram;188.350
udang belalang/ekor;I;Udang Belalang;ekor;36.071
udang belalang/kilogram;I;Udang Belalang;kilogram;12.500
udang bintik/kilogram;I;Udang Bintik;kilogram;51.042
udang caridina/ekor;I;Udang Caridina;ekor;5.108
udang caridina/buah/butir/batang;I;Udang Caridina;buah/butir/batang;1
udang caridina/kilogram;I;Udang Caridina;kilogram;75.000
udang cendana/kilogram;I;Udang Cendana;kilogram;97.402
udang cendana/carton;I;Udang Cendana;carton;1
udang dogol/ekor;I;Udang Dogol;ekor;4.792
udang dogol/box;I;Udang Dogol;box;1
udang dogol/kilogram;I;Udang Dogol;kilogram;64.186
udang ebi/ekor;I;Udang Ebi;ekor;2.000
udang ebi/box;I;Udang Ebi;box;1
udang ebi/kilogram;I;Udang Ebi;kilogram;78.751
udang galah/kilogram;I;Udang Galah;kilogram;60.160
udang goby/ekor;I;Udang Goby;ekor;18.265
udang hias/ekor;I;Udang Hias;ekor;21.048
udang hias/buah/butir/batang;I;Udang Hias;buah/butir/batang;1
udang hias/kilogram;I;Udang Hias;kilogram;17.185
udang jerbung/kilogram;I;Udang Jerbung;kilogram;145.793
udang jerbung/ekor;I;Udang Jerbung;ekor;230.494
udang karang/ekor;I;Udang Karang;ekor;38.767
udang kering/box;I;Udang Kering;box;1
udang kering/ekor;I;Udang Kering;ekor;1
udang kering/kilogram;I;Udang Kering;kilogram;49.464
udang kipas/kilogram;I;Udang Kipas;kilogram;248.315
udang kipas/ekor;I;Udang Kipas;ekor;66.090
udang kipas/box;I;Udang Kipas;box;1
udang kipas - hidup/ekor;I;Udang Kipas - Hidup;ekor;69.578
udang kipas - hidup/kilogram;I;Udang Kipas - Hidup;kilogram;12.501
udang krosok/kilogram;I;Udang Krosok;kilogram;137.894
udang lipan/ekor;I;Udang Lipan;ekor;74.766
udang mantis/ekor;I;Udang Mantis;ekor;63.777
udang mantis/kilogram;I;Udang Mantis;kilogram;11.097
udang papai/ekor;I;Udang Papai;ekor;75.000
udang papai/kilogram;I;Udang Papai;kilogram;68.419
udang pink/kilogram;I;Udang Pink;kilogram;128.756
udang pink/ekor;I;Udang Pink;ekor;36.941
udang pink/buah/butir/batang;I;Udang Pink;buah/butir/batang;1
udang pink/carton;I;Udang Pink;carton;1
udang putih/ekor;I;Udang Putih;ekor;8.000
udang putih/box;I;Udang Putih;box;1
udang putih/buah/butir/batang;I;Udang Putih;buah/butir/batang;1
udang putih/carton;I;Udang Putih;carton;1
udang putih/kemasan;I;Udang Putih;kemasan;1
udang putih/kilogram;I;Udang Putih;kilogram;80.000
udang shiba/kilogram;I;Udang Shiba;kilogram;84.001
udang vaname/kilogram;I;Udang Vaname;kilogram;175.000
udang vaname/ekor;I;Udang Vaname;ekor;3.000
udang vaname/gram;I;Udang Vaname;gram;1.750
udang vaname/bag;I;Udang Vaname;bag;1
udang vaname/box;I;Udang Vaname;box;1
udang vaname/buah/butir/batang;I;Udang Vaname;buah/butir/batang;1
udang vaname/carton;I;Udang Vaname;carton;1
udang vaname/kemasan;I;Udang Vaname;kemasan;1
udang vaname/kilogram of phosphorus pentoxide (phosphoric anhydride);I;Udang Vaname;kilogram of phosphorus pentoxide (phosphoric anhydride);1
udang vaname/peti kemas;I;Udang Vaname;peti kemas;1
udang vaname/pound;I;Udang Vaname;pound;1
udang windu/kilogram;I;Udang Windu;kilogram;200.000
udang windu/kilogram;I;Udang Windu;kilogram;109.000
udang windu/ekor;I;Udang Windu;ekor;6.830
udang windu/gram;I;Udang Windu;gram;2.000
udang windu/carton;I;Udang Windu;carton;1
udang windu/box;I;Udang Windu;box;1
udang windu/carton;I;Udang Windu;carton;1
ular/ekor;I;Ular;ekor;23.099
unicorn fish/ekor;I;Unicorn Fish;ekor;37.046
unicorn fish/buah/butir/batang;I;Unicorn Fish;buah/butir/batang;1
unicorn fish/kilogram;I;Unicorn Fish;kilogram;37.269
whitepaper fish/ekor;I;Whitepaper Fish;ekor;177.823
whitting fish/ekor;I;Whitting Fish;ekor;22.399
whitting fish/kilogram;I;Whitting Fish;kilogram;75.000
wrasse/ekor;I;Wrasse;ekor;47.527
wrasse/buah/butir/batang;I;Wrasse;buah/butir/batang;1
acar/kilogram;T;ACAR;kilogram;172.971
acar/meter kubik;T;ACAR;meter kubik;1
acorus/buah/butir/batang;T;ACORUS;buah/butir/batang;103.710
acorus/bag;T;ACORUS;bag;1
acorus/ekor;T;ACORUS;ekor;1
acorus/meter kubik;T;ACORUS;meter kubik;1
acorus/kilogram;T;ACORUS;kilogram;1.800
adas manis/kilogram;T;ADAS MANIS;kilogram;85.000
adas manis/ton;T;ADAS MANIS;ton;85.000.000
adas manis/buah/butir/batang;T;ADAS MANIS;buah/butir/batang;978
adas pedas/ton;T;ADAS PEDAS;ton;70.000.000
adas pedas/buah/butir/batang;T;ADAS PEDAS;buah/butir/batang;26.667
adas pedas/gram;T;ADAS PEDAS;gram;1
adas pedas/bag;T;ADAS PEDAS;bag;1
adas pedas/kilogram;T;ADAS PEDAS;kilogram;70.000
adenium/buah/butir/batang;T;ADENIUM;buah/butir/batang;94.000
adenium/gram;T;ADENIUM;gram;1
agar laut/kilogram;T;AGAR LAUT;kilogram;66.908
agar-agar/kilogram;T;Agar-agar;kilogram;194.341
air kelapa/ton;T;AIR KELAPA;ton;30.000.000
air kelapa/liter;T;AIR KELAPA;liter;30.000
air kelapa/kemasan;T;AIR KELAPA;kemasan;1
air kelapa/meter kubik;T;AIR KELAPA;meter kubik;1
